page_slug,primary_cta_text,lead_value_tier,affiliate_category,high_commercial_intent
equipment-financing-houston,Get Pre-Approved Today,High,Heavy Equipment,FALSE
equipment-financing-dallas,Get Financing Now,High,General Business Equipment,FALSE
equipment-financing-san-antonio,Check Your Rate,High,Medical & Dental,FALSE
equipment-financing-austin,Check Your Rate,High,General Business Equipment,FALSE
equipment-financing-fort-worth,Check Your Rate,High,Commercial Vehicles,FALSE
equipment-financing-el-paso,Get Financing Now,High,Commercial Vehicles,FALSE
equipment-financing-lubbock,Get Financing Now,Medium,Agricultural,FALSE
equipment-financing-amarillo,Get Pre-Approved Today,Medium,Agricultural,FALSE
equipment-financing-waco,Apply in 60 Seconds,Medium,General Business Equipment,FALSE
equipment-financing-midland,Apply in 60 Seconds,High,Heavy Equipment,FALSE
equipment-financing-odessa,Get Pre-Approved Today,High,Heavy Equipment,FALSE
equipment-financing-tyler,Get Pre-Approved Today,High,Medical & Dental,FALSE
equipment-financing-beaumont,Get Financing Now,High,Heavy Equipment,FALSE
equipment-financing-abilene,Get Financing Now,Medium,General Business Equipment,FALSE
equipment-financing-mcallen,Check Your Rate,High,Commercial Vehicles,FALSE
equipment-financing-laredo,Apply in 60 Seconds,High,Commercial Vehicles,FALSE
equipment-financing-corpus-christi,Get Pre-Approved Today,High,Heavy Equipment,FALSE
equipment-financing-killeen,Get Pre-Approved Today,Medium,General Business Equipment,FALSE
equipment-financing-brownsville,Check Your Rate,High,Commercial Vehicles,FALSE
equipment-financing-arlington,Get Financing Now,Low,General Business Equipment,FALSE
equipment-financing-plano,Apply in 60 Seconds,Low,General Business Equipment,FALSE
equipment-financing-irving,Apply in 60 Seconds,Medium,Commercial Vehicles,FALSE
equipment-financing-garland,Apply in 60 Seconds,Low,General Business Equipment,FALSE
equipment-financing-frisco,Check Your Rate,Low,General Business Equipment,FALSE
equipment-financing-mckinney,Get Financing Now,Medium,Medical & Dental,FALSE
equipment-financing-grand-prairie,Apply in 60 Seconds,Low,General Business Equipment,FALSE
equipment-financing-denton,Apply in 60 Seconds,Low,General Business Equipment,FALSE
equipment-financing-mesquite,Apply in 60 Seconds,Low,General Business Equipment,FALSE
equipment-financing-carrollton,Get Financing Now,Low,General Business Equipment,FALSE
equipment-financing-round-rock,Get Financing Now,Low,General Business Equipment,FALSE
equipment-financing-lewisville,Check Your Rate,Low,General Business Equipment,FALSE
equipment-financing-richardson,Apply in 60 Seconds,Low,General Business Equipment,FALSE
equipment-financing-sugar-land,Get Pre-Approved Today,Medium,Heavy Equipment,FALSE
equipment-financing-the-woodlands,Apply in 60 Seconds,Medium,Heavy Equipment,FALSE
equipment-financing-league-city,Check Your Rate,Medium,Commercial Vehicles,FALSE
equipment-financing-allen,Apply in 60 Seconds,Low,General Business Equipment,FALSE
equipment-financing-pearland,Get Pre-Approved Today,Medium,Heavy Equipment,FALSE
equipment-financing-san-marcos,Get Financing Now,Low,General Business Equipment,FALSE
equipment-financing-new-braunfels,Get Financing Now,Low,Restaurant & Food Service,FALSE
equipment-financing-edinburg,Get Pre-Approved Today,Medium,Medical & Dental,FALSE
equipment-financing-mission,Get Pre-Approved Today,Medium,Commercial Vehicles,FALSE
equipment-financing-pharr,Apply in 60 Seconds,Medium,Commercial Vehicles,FALSE
equipment-financing-harlingen,Apply in 60 Seconds,Medium,Medical & Dental,FALSE
equipment-financing-san-angelo,Get Financing Now,Low,Agricultural,FALSE
equipment-financing-longview,Get Financing Now,Medium,Heavy Equipment,FALSE
equipment-financing-texarkana,Check Your Rate,Medium,Commercial Vehicles,FALSE
